AVM,X510,Air Carrier Management,0.5,"Transportation, Distribution & Logistics"
AVM,X515,Airline Marketing,0.5,"Transportation, Distribution & Logistics"
AVS,90,Avionics Technical Publications Technician OCP A (180 hours),1,"Transportation, Distribution & Logistics"
AVS,91,Avionics Installer OCP B (180 hours),1,"Transportation, Distribution & Logistics"
AVS,92,Avionics Communications System Technician OCP C (180 hours),1,"Transportation, Distribution & Logistics"
AVS,93,Avionics Technician OCP D (180 hours),1,"Transportation, Distribution & Logistics"
AVS,95,Basic Electronics Troubleshooter (275 hours),1,"Transportation, Distribution & Logistics"
AVS,680,Basic Electronics Wiring Installer/Technician (150 hours),1,"Transportation, Distribution & Logistics"
AVS,681,Electrical Systems Technician (150 hours),1,"Transportation, Distribution & Logistics"
AVS,682,Analog Circuits Technician (150 hours),1,"Transportation, Distribution & Logistics"
AVS,683,Aircraft Electronics Technician (150 hours),1,"Transportation, Distribution & Logistics"
AVS,684,Avionics Installer/Technician (300 hours),2,"Transportation, Distribution & Logistics"
AVS,685,Advanced Avionics Installer/Technician (300 hours),2,"Transportation, Distribution & Logistics"
AVS,0090C,Avionics Technical Publications Technician OCP A (180 hours),1,"Transportation, Distribution & Logistics"
AVS,0091C,Avionics Installer OCP B (180 hours),1,"Transportation, Distribution & Logistics"
AVS,0092C,Avionics Communications System Technician OCP C (180 hours),1,"Transportation, Distribution & Logistics"
AVS,0093C,Avionics Technician OCP D (180 hours),1,"Transportation, Distribution & Logistics"
BCN,X221,"Construction Methods- Timber, Steel, Concrete",0.5,Architecture & Construction
BCN,X221C,"Construction Methods- Timber, Steel, Concrete",0.5,Architecture & Construction
BCN,X230,Construction Materials and Methods (L),0.5,Architecture & Construction
BCN,X231,Materials & Methods of Construction II,0.5,Architecture & Construction
BCN,X251,BLDG Construction Drawing I,0.5,Architecture & Construction
BCN,X251C,BLDG Construction Drawing I,0.5,Architecture & Construction
BCN,X940,Internships/Practicums/Clinical Practice,0.5,Architecture & Construction
BCT,X731,Project Management Simulation (L),0.5,Architecture & Construction
BCT,X760,Codes,0.5,Architecture & Construction
BCT,X763,Workman’s Comp & Safety,0.5,Architecture & Construction
BCT,X770,Construction Estimating I,0.5,Architecture & Construction
BCT,X770C,Construction Estimating I,0.5,Architecture & Construction
BCV,111,Trim and Finish Carpenter OCP B (300 hours),2,Architecture & Construction
BCV,122,Carpenter Rough,3,Architecture & Construction
BCV,128,Carpenter OCP B (150 hours),1,Architecture & Construction
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
BCV,200,Cabinet Maker Helper 300 hours,2,Architecture & Construction
BCV,235,Cabinet Finisher OCP B (150 hours),1,Architecture & Construction
BCV,240,Cabinet Assembler OCP C (300 hours),2,Architecture & Construction
BCV,243,CabinetMaker OCP D (450 hours),3,Architecture & Construction
BCV,330,Masonry Tender OCP A (450 hours),3,Architecture & Construction
BCV,360,Bricklayer Helper OCP B (300 hours),2,Architecture & Construction
BCV,362,Brickmason (1 of 2) OCP C (450 hours),3,Architecture & Construction
BCV,363,Brickmason (2 of 2) OCP C (450 hours),3,Architecture & Construction
BCV,400,Building Construction Helper OCP A (450 hours),3,Architecture & Construction
BCV,401,Building Construction Technician (1 of 2) OCP B (300 hours),2,Architecture & Construction
BCV,402,Building Construction Technician (2 of 2) OCP B (300 hours),2,Architecture & Construction
BCV,508,"Helper, Plumber, Pipefitter OCP A (360 hours)",2,Architecture & Construction
BCV,540,Residential Plumber OCP B (240 hours),2,Architecture & Construction
BCV,562,Commercial Plumber OCP C (240 hours),2,Architecture & Construction
BCV,568,Industrial Pipefitter Helper I OCP A (300 hours),2,Architecture & Construction
BCV,569,Industrial Pipefitter OCP B (300 hours),2,Architecture & Construction
BCV,592,Plumber OCP D (120 hours),1,Architecture & Construction
BCV,596,Plumbing Applications,1.5,Architecture & Construction
BCV,603,Electrician Helper OCP A (300 hours),2,Architecture & Construction
BCV,640,Residential Electrician OCP B (450 hours),3,Architecture & Construction
BCV,652,Commercial Electrician OCP C (450 hours),3,Architecture & Construction
BCV,667,Industrial Electrician OCP D (300 hours),2,Architecture & Construction
BCV,0003C,Introductory Craft Skills,1,Architecture & Construction
BCV,0593C,Intermediate Plumbing Level 2,0.5,Architecture & Construction
BCV,0594C,Introduction to Plumbing Level 4,0.5,Architecture & Construction
BCV,0595C,Intermediate Plumbing Level 4,0.5,Architecture & Construction
BCV,117C,Introduction to Carpentry,1.5,Architecture & Construction
BCV,120C,Carpentry Framing and Finishing,1,Architecture & Construction
BCV,121C,Rigging and Concrete,1,Architecture & Construction
BCV,123C,Foundations and Forms,1,Architecture & Construction
BCV,124C,Advanced Carpentry,1,Architecture & Construction
BCV,501C,Plumbing Concepts 90 hours,0.5,Architecture & Construction
BCV,508C,"Helper, Plumber, Pipefitter OCP A (360 hours)",2,Architecture & Construction
BCV,523C,"Fixtures, Valves and Faucets- (120 hours)",0.5,Architecture & Construction
BCV,524C,Intermediate Plumbing Level 2,0.5,Architecture & Construction
BCV,540C,Residential Plumber OCP B (240 hours),1.5,Architecture & Construction
BCV,562C,Commercial Plumber OCP C (240 hours),1.5,Architecture & Construction
BCV,570C,Water Supply/Potable Water Systems- 4.0,0.5,Architecture & Construction
BCV,X080,Building Construction Assistant,3,Career/Technical Education
BCV,X080L,Building Construction Assistant,1.5,Career/Technical Education
BCV,X081,Carpentry and Masonry Technician OCP B (150 hours),1,Career/Technical Education
BCV,X081L,Carpentry and Masonry Technician OCP B (150 hours),1,Career/Technical Education
BCV,X082,Electrical and Plumbing Technician OCP C (150 hours),1,Career/Technical Education
BCV,X082C,Electrical and Plumbing Technician OCP C (150 hours),1,Career/Technical Education
BCV,X083,A/C and Painting Technician,1,Career/Technical Education
BCV,X107,Carpenter Helper OCP A (300 hours),2,Career/Technical Education
BSC,X020,Human Biology,0.5,Health Science
BSC,X020/L,Human Biology (Lecture and Lab),1,Health Science
BSC,X020C,Human Biology (Lecture and Lab Combination),1,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
BUL,X131,Basic Law Environment,0.5,"Law, Public Safety & Security"
BUL,X241,Traditional Business Law,0.5,"Law, Public Safety & Security"
BUL,X242,Traditional Business Law (Cot.),0.5,"Law, Public Safety & Security"
CAP,X134,Database Security,0.5,Information Technology (IT)
CAP,X134C,Database Security,0.5,Information Technology (IT)
CAP,X140,Data Forensics I,0.5,Information Technology (IT)
CAP,X140C,Data Forensics I,0.5,Information Technology (IT)
CAP,X141,Data Forensics II- Advanced,0.5,Information Technology (IT)
CAP,X141C,Data Forensics II- Advanced,0.5,Information Technology (IT)
CCJ,X020,Introduction to Criminal Justice,0.5,"Law, Public Safety & Security"
CCJ,X347,Organized Crime,0.5,"Law, Public Safety & Security"
CCJ,X500,Juvenile Delinquency,0.5,"Law, Public Safety & Security"
CET,X020C,Introduction to Networks,0.5,Information Technology (IT)
CET,X025C,Scaling Networks,0.5,Information Technology (IT)
CET,X026C,Connecting Networks,0.5,Information Technology (IT)
CET,X112C,"Digital Fundamentals (Digital Codes, Logic Circuit, Boolean Alg)",0.5,Information Technology (IT)
CET,X113C,"Digital Fundamentals (Registers, Counters, Timers) (L)",0.5,Information Technology (IT)
CET,X114,Digital Fundamentals (One Course) (L),0.5,Information Technology (IT)
CET,X114C,Digital Fundamentals (One Course) (L),0.5,Information Technology (IT)
CET,X117C,Digital/Microprocessors I (L),0.5,Information Technology (IT)
CET,X123,Microprocessors Fundamentals (L),0.5,Information Technology (IT)
CET,X123C,Microprocessors Fundamentals (L),0.5,Information Technology (IT)
CET,X134C,Micropro Elect II (U),0.5,Information Technology (IT)
CET,X136C,Logic Devices Programming (U),0.5,Information Technology (IT)
CET,X171,Microcomputer Hardware (L),0.5,Information Technology (IT)
CET,X171C,Microcomputer Hardware (L),0.5,Information Technology (IT)
CET,X172,Repair of Computer Hardware (L),0.5,Information Technology (IT)
CET,X172C,Repair of Computer Hardware (L),0.5,Information Technology (IT)
CET,X174,Advanced PC Diagnostics and Maintenance (L),0.5,Information Technology (IT)
CET,X174C,Advanced PC Diagnostics and Maintenance (L),0.5,Information Technology (IT)
CET,X178,A+ Hardware Certification (L),0.5,Information Technology (IT)
CET,X178C,A+ Hardware Certification (L),0.5,Information Technology (IT)
CET,X179,A+ Software Preparation (L),0.5,Information Technology (IT)
CET,X179C,A+ Software Preparation (L),0.5,Information Technology (IT)
CET,X180,Advanced A+ Hardware and Software (L),0.5,Information Technology (IT)
CET,X182C,PC Hardware A+ (Equivalent to VET 2178) (L),0.5,Information Technology (IT)
CET,X278,A+ Fundamentals,0.5,Information Technology (IT)
CET,X335C,Total Microcomputer Systems (L),1,Information Technology (IT)
CET,X486C,Local Area Network (L),0.5,Information Technology (IT)
CET,X544,Computer Virtualization Technology (L),0.5,Information Technology (IT)
CET,X544C,Computer Virtualization Technology (L),0.5,Information Technology (IT)
CET,X556C,Structured Cabling Systems (L),0.5,Information Technology (IT)
CET,X588,Network Plus (L),0.5,Information Technology (IT)
CET,X588C,Network Plus (L),0.5,Information Technology (IT)
CET,X600,Networking Hardware (L),0.5,Information Technology (IT)
CET,X600C,Networking Hardware (L),0.5,Information Technology (IT)
CET,X610,Routers (L),0.5,Information Technology (IT)
CET,X610C,Routers (L),0.5,Information Technology (IT)
CET,X615,Advanced Routers (L),0.5,Information Technology (IT)
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
CET,X620,Network Systems Applications (L),0.5,Information Technology (IT)
CET,X620C,Network Systems Applications (L),0.5,Information Technology (IT)
CET,X625,Advanced Routing (L),0.5,Information Technology (IT)
CET,X625C,Advanced Routing (L),0.5,Information Technology (IT)
CET,X634C,Telecommunications Distribution Systems (L),0.5,Information Technology (IT)
CET,X660,Fundamentals of Computer Network Security (L),0.5,Information Technology (IT)
CET,X660C,Fundamentals of Computer Network Security (L),0.5,Information Technology (IT)
CET,X661C,Secure Virtual Private Networks (VPNs),0.5,Information Technology (IT)
CET,X662,Computer and Network Security (Upper Level),0.5,Information Technology (IT)
CET,X662C,Computer and Network Security (Upper Level),0.5,Information Technology (IT)
CET,X670,Advanced Topics in Routing Protocols (L),0.5,Information Technology (IT)
CET,X675C,IP Telephony (L),0.5,Information Technology (IT)
CET,X682,Cisco Voice Over IP (VOIP) (L),0.5,Information Technology (IT)
CET,X682C,Cisco Voice Over IP (VOIP) (L),0.5,Information Technology (IT)
CET,X685,Managing Cisco Network Security (L),0.5,Information Technology (IT)
CET,X685C,Managing Cisco Network Security (L),0.5,Information Technology (IT)
CET,X688C,System Security Practitioner (SSCP),0.5,Information Technology (IT)
CET,X691,Laws and Legal Aspects of Information Security (L),0.5,Information Technology (IT)
CET,X691C,Laws and Legal Aspects of Information Security (L),0.5,Information Technology (IT)
CET,X792,Windows 2000 Server (L),0.5,Information Technology (IT)
CET,X792C,Windows 2000 Server (L),0.5,Information Technology (IT)
CET,X793,Supporting a Network Infrastructure (L),0.5,Information Technology (IT)
CET,X793C,Supporting a Network Infrastructure (L),0.5,Information Technology (IT)
CET,X794,Active Directory Services (L),0.5,Information Technology (IT)
CET,X794C,Active Directory Services (L),0.5,Information Technology (IT)
CET,X810C,MS Exchange 2000 Server (L),0.5,Information Technology (IT)
CET,X812C,SQL Server System Administrator (L),0.5,Information Technology (IT)
CET,X830C,Information Assurance (L),0.5,Information Technology (IT)
CET,X850,Wireless Networking (L),0.5,Information Technology (IT)
CET,X856,Cisco Switching and Wireless Networking (L),0.5,Information Technology (IT)
CET,X861,Advanced Digital Forensics (U),0.5,Information Technology (IT)
CET,X862,Network Forensics and Incident Response (U),0.5,Information Technology (IT)
CET,X880,Data Forensics (L),0.5,Information Technology (IT)
CET,X880C,Data Forensics (L),0.5,Information Technology (IT)
CET,X881C,Data Forensics II- Advanced (L),0.5,Information Technology (IT)
CET,X883C,Network Security Advanced (L),0.5,Information Technology (IT)
CET,X884,Security Methods and Practice (U),0.5,Information Technology (IT)
CET,X890,Network Security Advanced (L),0.5,Information Technology (IT)
CET,X890C,Network Security Advanced (L),0.5,Information Technology (IT)
CET,X892C,Advanced Cyber Security (L),0.5,Information Technology (IT)
CET,X894,Projects in Cyber Security Capstone Course (L),0.5,Information Technology (IT)
CET,X894C,Projects in Cyber Security Capstone Course (L),0.5,Information Technology (IT)
CGS,X000,Computer Literacy: Business,0.5,Information Technology (IT)
CGS,X061,Introduction to Personal Computing,0.5,Information Technology (IT)
CGS,X061C,Introduction to Personal Computing,0.5,Information Technology (IT)
CGS,X091,"Social, Legal, and Ethical Issues in Information Technology",0.5,Information Technology (IT)
CGS,X091C,"Social, Legal, and Ethical Issues in Information Technology",0.5,Information Technology (IT)
CGS,X100,Application for Business,0.5,Information Technology (IT)
CGS,X100C,Application for Business,0.5,Information Technology (IT)
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
CGS,X101,Business Applications,0.5,Information Technology (IT)
CGS,X103,Business Computer Management Application,0.5,Information Technology (IT)
CGS,X108,Advanced Computer Application- UGR,0.5,Information Technology (IT)
CGS,X108C,Advanced Computer Application- UGR,0.5,Information Technology (IT)
CGS,X135,Introduction to Computer Forensics (L),0.5,Information Technology (IT)
CGS,X135C,Introduction to Computer Forensics (L),0.5,Information Technology (IT)
CGS,X146,Healthcare Informatics Project Management,0.5,Health Science
CGS,X301,Computer-Based Business Management,0.5,Business Management & Administration
CGS,X304,Managing Information Technology (L),0.5,Information Technology (IT)
CGS,X309,Computer and Information Technology Concepts,0.5,Information Technology (IT)
CGS,X510C,Electronic Spreadsheets,0.5,Information Technology (IT)
CGS,X511,Advanced Spreadsheet Applications,0.5,Information Technology (IT)
CGS,X515,Electronic Spreadsheets- Business Applications,0.5,Information Technology (IT)
